Textbox4,Textbox7,Textbox8,Textbox10,Textbox11,Textbox14,Textbox13,Textbox20,Textbox21,Textbox23,Textbox24,Textbox26,Textbox27,Textbox30,Textbox29,Textbox34,Textbox36,Textbox39,Textbox37
"Monday, May 22, 2017",*All Records,0,*All Records,0,0,*All Records,*All Records,0,*All Records,0,*All Records,0,0,*All Records,*All Records,0,0,*All Records

Textbox594,Textbox124,Textbox600,shipto_cust_numb1,s_shipto_name,job_numb,order_qty11,line_numb,fg_item_numb,fg_item_desc,ship_line_numb1,DATE_WANTED,onhandquantity,order_qty1,unit_cost,shipto_numb,shipto_numb1,shipto_phone,unit_cost1,DATE_SHIP1,Textbox115,Textbox117,Textbox119,Textbox268,Textbox270,Textbox272
01578,CITY OF KENDALLVILLE     ,Clarissa       Schmidt        ,00000,CITY OF KENDALLVILLE     ,642442,       1,004,CKE0029686  ,WAYFINDING STAND-OFF SIGNAGE  ,001,2/6/2017,0,1,"$2,120.77",1,"$2,120.77",0,$0.00,,"$4,975.80","$4,975.80",$0.00,"$874,279.95","$771,364.11","$102,915.84"
01433,CREATIVE DESIGN SOLUTIONS,Clarissa       Schmidt        ,00000,CREATIVE DESIGN SOLUTIONS,637724,       3,008,CDS0026345  ,INSTALLATION SERIVES          ,001,1/13/2016,0,3,"$1,680.00",3,"$1,680.00",0,$0.00,,"$21,274.63","$19,923.63","$1,351.00","$874,279.95","$771,364.11","$102,915.84"
01433,CREATIVE DESIGN SOLUTIONS,Clarissa       Schmidt        ,00000,CREATIVE DESIGN SOLUTIONS,637724,       3,008,CDS0026345  ,INSTALLATION SERIVES          ,001,1/13/2016,0,3,"$1,680.00",2,"$1,120.00",1,$560.00,8/12/2016,"$21,274.63","$19,923.63","$1,351.00","$874,279.95","$771,364.11","$102,915.84"
01433,CREATIVE DESIGN SOLUTIONS,Clarissa       Schmidt        ,00000,CREATIVE DESIGN SOLUTIONS,637724,       4,005,TRIP CHARGE ,TRIP CHARGE                   ,001,1/13/2016,0,4,"$1,412.00",4,"$1,412.00",0,$0.00,,"$21,274.63","$19,923.63","$1,351.00","$874,279.95","$771,364.11","$102,915.84"
01433,CREATIVE DESIGN SOLUTIONS,Clarissa       Schmidt        ,00000,CREATIVE DESIGN SOLUTIONS,637724,       4,005,TRIP CHARGE ,TRIP CHARGE                   ,001,1/13/2016,0,4,"$1,412.00",3,"$1,059.00",1,$353.00,8/12/2016,"$21,274.63","$19,923.63","$1,351.00","$874,279.95","$771,364.11","$102,915.84"
01433,CREATIVE DESIGN SOLUTIONS,Clarissa       Schmidt        ,00000,CREATIVE DESIGN SOLUTIONS,637724,       6,002,INSTALLATION,INSTALLATION OF GRAPHICS      ,001,1/13/2016,0,6,$90.00,6,$90.00,0,$0.00,,"$21,274.63","$19,923.63","$1,351.00","$874,279.95","$771,364.11","$102,915.84"
01433,CREATIVE DESIGN SOLUTIONS,Clarissa       Schmidt        ,00000,CREATIVE DESIGN SOLUTIONS,637724,       6,002,INSTALLATION,INSTALLATION OF GRAPHICS      ,001,1/13/2016,0,6,$90.00,4,$60.00,2,$30.00,8/12/2016,"$21,274.63","$19,923.63","$1,351.00","$874,279.95","$771,364.11","$102,915.84"
01433,CREATIVE DESIGN SOLUTIONS,Clarissa       Schmidt        ,00000,CREATIVE DESIGN SOLUTIONS,637724,      18,007,INSTALLATION,INSTALLATION OF GRAPHICS      ,001,1/13/2016,0,18,$216.00,18,$216.00,0,$0.00,,"$21,274.63","$19,923.63","$1,351.00","$874,279.95","$771,364.11","$102,915.84"
01433,CREATIVE DESIGN SOLUTIONS,Clarissa       Schmidt        ,00000,CREATIVE DESIGN SOLUTIONS,637724,      18,007,INSTALLATION,INSTALLATION OF GRAPHICS      ,001,1/13/2016,0,18,$216.00,12,$144.00,6,$72.00,8/12/2016,"$21,274.63","$19,923.63","$1,351.00","$874,279.95","$771,364.11","$102,915.84"
01433,CREATIVE DESIGN SOLUTIONS,Clarissa       Schmidt        ,00000,CREATIVE DESIGN SOLUTIONS,637724,      54,004,INSTALLATION,INSTALLATION OF GRAPHICS      ,001,1/13/2016,0,54,$648.00,54,$648.00,0,$0.00,,"$21,274.63","$19,923.63","$1,351.00","$874,279.95","$771,364.11","$102,915.84"
